"first_name","last_name","driver_num","min"
"Alex
","Marquez",73,"30.094"
"Francesco","Bagnaia",1,"30.181"
"Brad","Binder",33,"30.217"
"Pedro","Acosta",31,"30.23"
"Jorge","Martin",89,"30.247"
"Maverick","Vinales",12,"30.249"
"Marc","Marquez",93,"30.267"
"Aleix","Espargaro",41,"30.338"
"Alex","Rins",42,"30.355"
"Augusto","Fernandez",37,"30.356"
"Fabio","Di Giannantonio",49,"30.361"
"Fabio","Quartararo",20,"30.364"
"Joan","Mir",36,"30.373"
"Marco","Bezzecchi",72,"30.38"
"Enea ","Bastianini",23,"30.385"
"Johann","Zarco",5,"30.39"
"Franco","Morbidelli",21,"30.419"
"Raul","Fernandez",25,"30.425"
"Miguel","Oliveira",88,"30.445"
"Jack","Miller",43,"30.493"
"Takkaki","Nakagami",30,"30.502"
"Luca","Marini",10,"30.618"
