id,krug,lap,t1,t2,t3,t4,speed,lap_seconds,driver_num,num,first_name,last_name
19,19,1'52.893,27.844,30.262,27.102,27.685,346.1,112.893,1,1,Francesco,Bagnaia
124,19,1'53.020,27.805,30.328,27.171,27.716,351.7,113.02,89,89,Jorge,Martin
40,19,1'53.032,27.85,30.322,27.076,27.784,349.5,113.032,33,33,Brad,Binder
145,19,1'53.150,27.905,30.448,26.995,27.802,352.9,113.15,93,93,Marc,Marquez
199,19,1'53.342,27.859,30.536,27.116,27.831,351.7,113.342,23,23,Enea ,Bastianini
388,19,1'53.354,27.965,30.403,27.114,27.872,354,113.354,72,72,Marco,Bezzecchi
220,19,1'53.665,27.994,30.494,27.205,27.972,347.2,113.665,73,73,"Alex
",Marquez
346,19,1'53.767,27.963,30.525,27.312,27.967,350.6,113.767,5,5,Johann,Zarco
472,19,1'53.802,27.932,30.635,27.282,27.953,348.3,113.802,21,21,Franco,Morbidelli
409,19,1'53.811,27.909,30.504,27.333,28.065,352.9,113.811,88,88,Miguel,Oliveira
304,19,1'53.924,27.997,30.687,27.294,27.946,347.2,113.924,12,12,Maverick,Vinales
241,19,1'53.990,27.972,30.682,27.389,27.947,347.2,113.99,49,49,Fabio,Di Giannantonio
325,19,1'54.015,28.107,30.589,27.393,27.926,348.3,114.015,20,20,Fabio,Quartararo
493,19,1'54.077,28.078,30.631,27.426,27.942,348.3,114.077,30,30,Takkaki,Nakagami
367,19,1'54.127,28.039,30.567,27.438,28.083,345,114.127,36,36,Joan,Mir
262,19,1'54.265,28.09,30.568,27.567,28.04,352.9,114.265,41,41,Aleix,Espargaro
451,19,1'54.320,28.257,30.623,27.298,28.142,334.3,114.32,37,37,Augusto,Fernandez
514,19,1'54.371,28.076,30.709,27.552,28.034,343.9,114.371,10,10,Luca,Marini
283,19,1'54.428,27.996,30.65,27.709,28.073,351.7,114.428,31,31,Pedro,Acosta
535,19,1'54.684,28.211,30.852,27.535,28.086,351.7,114.684,43,43,Jack,Miller
430,19,1'54.971,28.23,30.974,27.556,28.211,347.2,114.971,42,42,Alex,Rins
