"num","first_name","last_name","place_of_birth","lat_birth","long_birth"
1,"Francesco","Bagnaia","Torino","45.07049","7.68682"
5,"Johann","Zarco","Cannes","43.55152","7.01344"
10,"Luca","Marini","Urbino","43.72626","12.63631"
12,"Maverick","Vinales","Figueres","42.26663","2.96384"
20,"Fabio","Quartararo","Nice","43.70094","7.26839"
21,"Franco","Morbidelli","Rome","41.89332","12.48293"
23,"Enea ","Bastianini","Rimini","44.05939","12.56844"
25,"Raul","Fernandez","Madrid","40.4167","-3.70358"
30,"Takkaki","Nakagami","Chiba","35.60999","140.11813"
31,"Pedro","Acosta","Mazaron","37.59865","-1.31385"
33,"Brad","Binder","Potchefstroom","-26.70778","27.09583"
36,"Joan","Mir","Palma de Mallorca","39.56958","2.65007"
37,"Augusto","Fernandez","Madrid","40.4167","-3.70358"
41,"Aleix","Espargaro","Granollers","41.60796","2.2876"
42,"Alex","Rins","Barcelona","41.38289","2.17743"
43,"Jack","Miller","Townsville","-19.25694","146.82395"
49,"Fabio","Di Giannantonio","Rome","41.89332","12.48293"
72,"Marco","Bezzecchi","Rimini","44.05939","12.56844"
73,"Alex
","Marquez","Cervera","41.67038","1.26801"
88,"Miguel","Oliveira","Pragal","38.66596","-9.17979"
89,"Jorge","Martin","Madrid","40.4167","-3.70358"
93,"Marc","Marquez","Cervera","41.67038","1.26801"
